f2,precision_task,recall_task,f1_task,accuracy,fp_rate_control,ari,bic,silhouette,tau,subset,n_feat,iter
0.6985548794425923,0.7086353762446627,0.6975472279559264,0.7011288214599677,0.6363360276557266,0.4752216748585698,0.03666353046177334,759.7858018137247,0.18920423477038578,0.6,"abs_auc_activation,auc_difference,delta_mean,delta_variance,extrema_abs_slope,extrema_line_length,kurtosis_activation,peak_amplitude,power_epoch,total_band_power_delta",10,11
0.6975896284773413,0.7042875501577062,0.6975472279559264,0.6988099808802576,0.631684864865029,0.4847454843819258,0.03666353046177334,759.7858018137247,0.18920423477038578,0.8,"abs_auc_activation,auc_difference,delta_mean,delta_variance,extrema_abs_slope,extrema_line_length,kurtosis_activation,peak_amplitude,power_epoch,total_band_power_delta",10,12
0.0,0.0,0.0,0.0,0.3697343401712868,0.0,0.011058746444003991,241.2114405722525,0.540919262442678,0.0,delta_mean,1,13
0.6234305874436343,0.6847509811527802,0.6114230892228972,0.6436239735835819,0.5787133984120099,0.4816912971900794,0.011058746444003991,241.2114405722525,0.540919262442678,0.6,delta_mean,1,14
0.6752547411942862,0.6640267558528428,0.6811352152804024,0.6688970116097627,0.5835509925343393,0.5940311986639222,0.011058746444003991,241.2114405722525,0.540919262442678,0.8,delta_mean,1,15
0.0,0.0,0.0,0.0,0.3697343401712868,0.0,0.11992975513033347,618.7140212887031,0.29462995128514535,0.0,"abs_auc_activation,extrema_line_length,ic_right_delta_variance",3,16
0.6448197260454107,0.8195811706549826,0.6149615373433729,0.6974001236858379,0.6668600174747128,0.2443513957218418,0.11992975513033347,618.7140212887031,0.29462995128514535,0.6,"abs_auc_activation,extrema_line_length,ic_right_delta_variance",3,17
0.6822658615508201,0.8067892487629329,0.6589570020641334,0.7219468705604903,0.6818204405877359,0.28243842363497296,0.11992975513033347,618.7140212887031,0.29462995128514535,0.8,"abs_auc_activation,extrema_line_length,ic_right_delta_variance",3,18
0.0,0.0,0.0,0.0,0.3697343401712868,0.0,-0.008115239428742387,235.2997056283813,0.5498441753616615,0.0,ic_right_delta_mean,1,19
0.4814559304586471,0.6415566414771081,0.45483792191179456,0.5291448317764107,0.5007829253044572,0.43001642034505033,-0.008115239428742387,235.2997056283813,0.5498441753616615,0.6,ic_right_delta_mean,1,20
0.5408054504072213,0.6044456220926809,0.5282266476727622,0.5618573923902304,0.49111002386637,0.5980459769890796,-0.008115239428742387,235.2997056283813,0.5498441753616615,0.8,ic_right_delta_mean,1,21
0.0,0.0,0.0,0.0,0.3697343401712868,0.0,0.026477417488517386,984.4825906207559,0.1618966107063871,0.0,"delta_mean,delta_variance,ic_left_extrema_abs_slope,ic_left_peak_amplitude,peak_amplitude",5,22
0.5309598993243633,0.6761938179301412,0.5136528185597581,0.5654486196458027,0.5395662801479624,0.40768472904836167,0.026477417488517386,984.4825906207559,0.1618966107063871,0.6,"delta_mean,delta_variance,ic_left_extrema_abs_slope,ic_left_peak_amplitude,peak_amplitude",5,23
